Date,Time of Day,Placed,Mental State,Eliminations,Assists,Revives,Accuracy,Hits,Head Shots,Distance Traveled,Materials Gathered,Materials Used,Damage Taken,Damage to Players,Damage to Structures
4/10,6:00 PM,27,sober,2,0,0,23%,14,2,271.08,20,20,272,331,621
4/10,6:00 PM,45,sober,1,2,0,30%,19,1,396.73,123,30,247,444,998
4/10,6:00 PM,38,high,3,0,0,30%,32,1,607.80,71,60,176,322,1109
4/10,7:00 PM,30,high,1,3,0,18%,19,1,714.16,244,10,238,330,4726
4/10,7:00 PM,16,high,3,1,1,58%,42,18,1140.00,584,150,365,668,2070
4/10,7:00 PM,30,high,0,1,0,10%,3,1,575.59,78,60,146,117,5482
4/10,7:00 PM,20,high,3,3,0,25%,41,6,1200.00,1379,150,175,634,3036
4/10,7:00 PM,29,high,2,2,0,25%,17,4,292.43,59,50,219,412,1083
4/10,7:00 PM,21,high,4,0,1,39%,50,14,1160.00,416,20,196,989,9494
4/10,8:00 PM,24,high,1,2,0,35%,30,1,559.11,165,70,150,422,1257
4/10,8:00 PM,35,high,1,2,1,21%,19,0,663.13,127,110,388,420,3343
4/10,8:00 PM,27,high,3,0,0,23%,32,3,638.17,162,20,105,492,1928
4/10,8:00 PM,36,high,1,0,0,18%,11,3,197.45,68,0,101,279,896
4/10,8:00 PM,27,high,4,1,0,27%,38,1,992.29,226,20,106,817,1540
4/11,1:00 PM,17,sober,4,0,3,22%,34,11,610.18,270,30,233,950,1779
4/11,2:00 PM,4,sober,5,4,4,20%,35,3,3230.00,715,420,200,894,9494
4/11,2:00 PM,5,sober,3,6,1,17%,32,11,2780.00,384,370,264,787,3589
4/11,2:00 PM,20,sober,1,6,0,23%,19,2,1650.00,62,60,315,611,3506
4/11,2:00 PM,29,sober,3,1,0,27%,27,7,341.70,20,20,290,659,1047
4/11,2:00 PM,28,sober,1,1,0,46%,13,4,346.04,25,20,161,294,855
4/11,3:00 PM,1,sober,7,0,0,25%,63,9,3320.00,541,530,180,1399,17151
4/11,8:00 PM,49,high,2,0,0,25%,27,0,476.91,167,10,128,327,1984
4/11,8:00 PM,66,high,0,1,0,13%,5,1,216.66,87,0,165,91,1232
4/11,8:00 PM,18,high,5,0,0,26%,60,5,1200.00,806,230,677,766,2041
4/11,9:00 PM,55,high,1,1,0,26%,8,0,338.60,98,90,106,154,309
4/11,9:00 PM,39,high,1,1,0,24%,12,4,229.59,102,90,154,439,327
4/13,1:00 PM,26,sober,4,2,1,20%,46,0,562.26,321,30,100,736,2518
4/13,1:00 PM,18,sober,1,0,0,4%,2,0,693.10,261,70,120,60,1643
4/13,2:00 PM,8,sober,6,2,0,28%,59,10,2560.00,732,320,317,1444,7028
4/13,2:00 PM,19,sober,2,2,0,34%,38,8,616.55,95,80,412,768,1421
4/13,2:00 PM,2,sober,8,0,1,17%,34,7,3790.00,3002,1740,321,1166,10594
4/13,3:00 PM,21,sober,0,2,0,6%,6,0,1240.00,328,120,133,219,2733
4/13,3:00 PM,48,sober,2,0,0,38%,5,0,89.51,69,0,134,385,300
4/13,3:00 PM,14,sober,1,2,0,12%,11,4,1700.00,519,60,316,416,8412
4/13,6:00 PM,22,high,1,1,0,17%,22,3,640.68,70,70,200,302,1257
4/13,6:00 PM,22,high,3,2,1,20%,22,4,399.83,50,50,157,646,1386
4/13,7:00 PM,10,high,3,3,0,22%,48,5,1810.00,512,150,567,651,2371
4/13,7:00 PM,13,high,6,0,0,36%,92,22,1500.00,894,160,257,1253,4871
4/13,8:00 PM,1,high,6,3,1,17%,46,7,3830.00,1907,530,193,1308,18026
4/13,8:00 PM,15,high,2,3,1,26%,45,7,771.01,749,150,422,600,2728
4/13,8:00 PM,16,high,4,2,2,23%,28,2,526.50,153,20,142,922,2220
4/13,9:00 PM,2,high,6,2,0,27%,54,5,4050.00,2553,680,400,1383,4945
4/13,9:00 PM,6,high,1,1,0,8%,8,0,2810.00,288,280,352,256,5036
4/14,12:00 PM,31,sober,3,1,0,29%,21,2,570.68,78,50,343,509,1777
4/14,12:00 PM,21,sober,2,2,0,18%,16,3,661.55,136,40,355,376,1724
4/14,1:00 PM,25,sober,1,0,0,4%,1,1,574.95,204,40,272,157,1219
4/14,1:00 PM,11,sober,2,1,0,17%,24,2,1980.00,970,70,274,335,5948
4/14,1:00 PM,46,sober,1,0,0,90%,36,1,168.94,69,20,206,313,350
4/14,1:00 PM,21,sober,3,0,0,35%,26,1,709.09,230,30,194,548,9240
4/14,1:00 PM,32,sober,0,0,0,10%,9,2,411.05,139,30,212,276,2090
4/14,1:00 PM,28,sober,1,1,0,22%,28,10,416.91,46,40,173,560,593
4/14,1:00 PM,25,sober,2,1,0,24%,30,3,970.08,251,90,223,668,2602
4/14,2:00 PM,5,sober,4,5,1,38%,105,33,2330.00,687,50,671,1507,5063
